recency,frequency,monetary,r_quartile,f_quartile,m_quartile,RFM_Score,RFM_Score_num,RFM_Level,cluster_labels
290,52,666,1,1,2,112,4,Top,0
359,10,201,4,4,4,444,12,Low,3
292,20,173,1,3,4,134,8,Middle,2
351,21,300,3,3,3,333,9,Middle,3
295,11,288,1,4,3,143,8,Middle,2
308,34,390,2,2,2,222,6,Middle,2
324,27,410,3,2,2,322,7,Middle,2
339,17,307,3,3,3,333,9,Middle,3
358,14,238,3,3,3,333,9,Middle,3
303,131,2769,2,1,1,211,4,Top,0
312,10,1110,2,4,1,241,7,Middle,2
295,26,947,1,2,1,121,4,Top,2
316,17,1308,2,3,1,231,6,Middle,2
366,7,304,4,4,3,443,11,Low,3
315,13,335,2,3,3,233,8,Middle,2
305,131,1660,2,1,1,211,4,Top,0
287,20,389,1,3,2,132,6,Middle,2
337,1,35,3,4,4,344,11,Low,1
365,14,308,4,3,3,433,10,Low,3
371,39,754,4,2,2,422,8,Middle,3
298,24,416,1,2,2,122,5,Top,2
329,35,534,3,2,2,322,7,Middle,3
309,16,313,2,3,3,233,8,Middle,2
319,15,387,3,3,2,332,8,Middle,2
294,15,601,1,3,2,132,6,Middle,2
372,17,308,4,3,3,433,10,Low,3
317,6,160,2,4,4,244,10,Low,1
297,86,5664,1,1,1,111,3,Top,0
291,8,250,1,4,3,143,8,Middle,2
296,1,390,1,4,2,142,7,Middle,2
359,49,1579,4,2,1,421,7,Middle,3
290,64,825,1,1,1,111,3,Top,0
294,27,401,1,2,2,122,5,Top,2
336,32,639,3,2,2,322,7,Middle,3
364,34,829,4,2,1,421,7,Middle,3
334,48,401,3,2,2,322,7,Middle,3
289,8,185,1,4,4,144,9,Middle,2
366,30,692,4,2,2,422,8,Middle,3
305,122,3493,2,1,1,211,4,Top,0
288,93,1609,1,1,1,111,3,Top,0
332,12,241,3,3,3,333,9,Middle,3
298,23,317,1,3,3,133,7,Middle,2
291,12,185,1,3,4,134,8,Middle,2
353,11,193,3,4,4,344,11,Low,3
308,148,3395,2,1,1,211,4,Top,0
289,7,235,1,4,3,143,8,Middle,2
310,42,641,2,2,2,222,6,Middle,0
311,18,316,2,3,3,233,8,Middle,2
359,22,865,4,3,1,431,8,Middle,3
359,26,501,4,2,2,422,8,Middle,3
368,9,153,4,4,4,444,12,Low,1
323,4,114,3,4,4,344,11,Low,1
316,26,458,2,2,2,222,6,Middle,2
366,30,566,4,2,2,422,8,Middle,3
326,5,110,3,4,4,344,11,Low,1
366,15,305,4,3,3,433,10,Low,3
304,54,1029,2,1,1,211,4,Top,0
315,3,166,2,4,4,244,10,Low,1
309,11,164,2,4,4,244,10,Low,2
319,4,91,3,4,4,344,11,Low,1
315,8,313,2,4,3,243,9,Middle,2
354,82,1198,3,1,1,311,5,Top,3
334,13,110,3,3,4,334,10,Low,1
367,24,118,4,2,4,424,10,Low,3
290,33,1687,1,2,1,121,4,Top,0
369,9,164,4,4,4,444,12,Low,1
309,10,118,2,4,4,244,10,Low,2
306,24,142,2,2,4,224,8,Middle,2
303,13,309,2,3,3,233,8,Middle,2
336,39,559,3,2,2,322,7,Middle,3
337,26,721,3,2,2,322,7,Middle,3
312,19,219,2,3,3,233,8,Middle,2
311,3,70,2,4,4,244,10,Low,1
359,15,303,4,3,3,433,10,Low,3
330,9,205,3,4,4,344,11,Low,1
318,23,417,2,3,2,232,7,Middle,2
297,15,156,1,3,4,134,8,Middle,2
357,20,311,3,3,3,333,9,Middle,3
310,8,1425,2,4,1,241,7,Middle,2
327,38,362,3,2,3,323,8,Middle,3
366,15,197,4,3,4,434,11,Low,3
368,18,308,4,3,3,433,10,Low,3
337,31,162,3,2,4,324,9,Middle,3
320,62,1045,3,1,1,311,5,Top,0
295,75,1749,1,1,1,111,3,Top,0
301,6,186,2,4,4,244,10,Low,2
337,70,2391,3,1,1,311,5,Top,0
289,132,10770,1,1,1,111,3,Top,0
327,26,156,3,2,4,324,9,Middle,3
318,1,99,2,4,4,244,10,Low,1
373,10,318,4,4,3,443,11,Low,3
302,20,330,2,3,3,233,8,Middle,2
315,32,583,2,2,2,222,6,Middle,2
315,31,474,2,2,2,222,6,Middle,2
338,97,941,3,1,1,311,5,Top,0
298,21,298,1,3,3,133,7,Middle,2
295,7,114,1,4,4,144,9,Middle,2
288,67,1451,1,1,1,111,3,Top,0
310,9,158,2,4,4,244,10,Low,2
299,166,995,1,1,1,111,3,Top,0
292,53,893,1,1,1,111,3,Top,0
373,1,79,4,4,4,444,12,Low,1
373,1,204,4,4,4,444,12,Low,1
296,8,688,1,4,2,142,7,Middle,2
288,9,296,1,4,3,143,8,Middle,2
317,8,156,2,4,4,244,10,Low,1
358,16,1004,3,3,1,331,7,Middle,3
334,33,1141,3,2,1,321,6,Middle,3
337,69,499,3,1,2,312,6,Middle,3
290,97,3825,1,1,1,111,3,Top,0
326,29,626,3,2,2,322,7,Middle,3
288,65,8063,1,1,1,111,3,Top,0
327,36,191,3,2,4,324,9,Middle,3
311,6,329,2,4,3,243,9,Middle,2
367,7,230,4,4,3,443,11,Low,1
364,7,106,4,4,4,444,12,Low,1
292,91,10468,1,1,1,111,3,Top,0
294,16,341,1,3,3,133,7,Middle,2
309,33,558,2,2,2,222,6,Middle,2
311,20,969,2,3,1,231,6,Middle,2
289,41,723,1,2,2,122,5,Top,0
367,7,112,4,4,4,444,12,Low,1
301,36,1140,2,2,1,221,5,Top,0
310,11,442,2,4,2,242,8,Middle,2
369,2,408,4,4,2,442,10,Low,1
317,9,113,2,4,4,244,10,Low,1
369,52,238,4,1,3,413,8,Middle,3
309,55,907,2,1,1,211,4,Top,0
360,28,411,4,2,2,422,8,Middle,3
297,4,935,1,4,1,141,6,Middle,2
288,17,246,1,3,3,133,7,Middle,2
289,40,2269,1,2,1,121,4,Top,0
326,28,201,3,2,4,324,9,Middle,3
290,42,678,1,2,2,122,5,Top,0
289,7,123,1,4,4,144,9,Middle,2
313,71,897,2,1,1,211,4,Top,0
287,34,544,1,2,2,122,5,Top,2
308,23,456,2,3,2,232,7,Middle,2
309,7,121,2,4,4,244,10,Low,1
358,18,540,3,3,2,332,8,Middle,3
301,24,340,2,2,3,223,7,Middle,2
296,17,308,1,3,3,133,7,Middle,2
311,13,1025,2,3,1,231,6,Middle,2
358,11,190,3,4,4,344,11,Low,3
297,21,821,1,3,1,131,5,Top,2
310,10,160,2,4,4,244,10,Low,2
325,12,155,3,3,4,334,10,Low,1
318,11,214,2,4,3,243,9,Middle,2
294,17,201,1,3,4,134,8,Middle,2
298,40,559,1,2,2,122,5,Top,2
351,7,172,3,4,4,344,11,Low,1
326,2,412,3,4,2,342,9,Middle,1
294,16,307,1,3,3,133,7,Middle,2
311,12,184,2,3,4,234,9,Middle,2
297,19,2118,1,3,1,131,5,Top,0
360,3,102,4,4,4,444,12,Low,1
294,12,212,1,3,3,133,7,Middle,2
352,1,500,3,4,2,342,9,Middle,1
305,11,205,2,4,4,244,10,Low,2
362,16,214,4,3,3,433,10,Low,3
308,35,664,2,2,2,222,6,Middle,2
322,44,662,3,2,2,322,7,Middle,0
326,52,903,3,1,1,311,5,Top,0
305,51,949,2,1,1,211,4,Top,0
325,9,284,3,4,3,343,10,Low,2
289,38,822,1,2,1,121,4,Top,0
322,32,609,3,2,2,322,7,Middle,2
373,9,301,4,4,3,443,11,Low,3
288,29,900,1,2,1,121,4,Top,0
312,7,304,2,4,3,243,9,Middle,2
305,66,983,2,1,1,211,4,Top,0
324,50,3994,3,1,1,311,5,Top,0
355,29,619,3,2,2,322,7,Middle,3
297,11,301,1,4,3,143,8,Middle,2
364,26,111,4,2,4,424,10,Low,3
313,67,914,2,1,1,211,4,Top,0
309,55,173,2,1,4,214,7,Middle,2
337,5,1251,3,4,1,341,8,Middle,3
336,13,296,3,3,3,333,9,Middle,3
305,85,409,2,1,2,212,5,Top,0
317,110,1031,2,1,1,211,4,Top,0
296,45,2649,1,2,1,121,4,Top,0
294,106,1549,1,1,1,111,3,Top,0
290,56,1931,1,1,1,111,3,Top,0
323,44,3096,3,2,1,321,6,Middle,0
320,24,265,3,2,3,323,8,Middle,2
373,13,136,4,3,4,434,11,Low,3
302,153,934,2,1,1,211,4,Top,0
364,29,182,4,2,4,424,10,Low,3
354,95,459,3,1,2,312,6,Middle,3
309,170,1987,2,1,1,211,4,Top,0
322,93,7544,3,1,1,311,5,Top,0
324,1,76,3,4,4,344,11,Low,1
322,60,920,3,1,1,311,5,Top,0
295,76,818,1,1,1,111,3,Top,0
294,15,1844,1,3,1,131,5,Top,0
296,31,621,1,2,2,122,5,Top,2
354,2,433,3,4,2,342,9,Middle,1
330,11,195,3,4,4,344,11,Low,1
310,20,314,2,3,3,233,8,Middle,2
319,67,483,3,1,2,312,6,Middle,0
315,16,318,2,3,3,233,8,Middle,2
326,70,1811,3,1,1,311,5,Top,0
373,22,311,4,3,3,433,10,Low,3
357,35,1241,3,2,1,321,6,Middle,3
359,12,306,4,3,3,433,10,Low,3
362,51,193,4,1,4,414,9,Middle,3
369,26,283,4,2,3,423,9,Middle,3
292,13,177,1,3,4,134,8,Middle,2
331,18,148,3,3,4,334,10,Low,3
329,16,322,3,3,3,333,9,Middle,3
297,31,576,1,2,2,122,5,Top,2
296,98,1853,1,1,1,111,3,Top,0
331,3,197,3,4,4,344,11,Low,1
310,12,398,2,3,2,232,7,Middle,2
288,61,1165,1,1,1,111,3,Top,0
308,30,516,2,2,2,222,6,Middle,2
359,4,67,4,4,4,444,12,Low,1
332,16,347,3,3,3,333,9,Middle,3
296,53,977,1,1,1,111,3,Top,0
295,5,145,1,4,4,144,9,Middle,2
315,51,922,2,1,1,211,4,Top,0
311,21,378,2,3,2,232,7,Middle,2
358,11,312,3,4,3,343,10,Low,3
339,18,312,3,3,3,333,9,Middle,3
320,40,244,3,2,3,323,8,Middle,2
291,26,762,1,2,2,122,5,Top,2
288,19,308,1,3,3,133,7,Middle,2
310,15,630,2,3,2,232,7,Middle,2
372,3,189,4,4,4,444,12,Low,1
373,9,161,4,4,4,444,12,Low,1
326,8,146,3,4,4,344,11,Low,1
316,9,159,2,4,4,244,10,Low,1
325,8,138,3,4,4,344,11,Low,1
288,60,1139,1,1,1,111,3,Top,0
318,8,302,2,4,3,243,9,Middle,2
364,32,523,4,2,2,422,8,Middle,3
318,39,620,2,2,2,222,6,Middle,2
298,40,4286,1,2,1,121,4,Top,0
331,29,492,3,2,2,322,7,Middle,3
289,19,341,1,3,3,133,7,Middle,2
367,13,571,4,3,2,432,9,Middle,3
289,19,322,1,3,3,133,7,Middle,2
361,23,777,4,3,1,431,8,Middle,3
305,22,508,2,3,2,232,7,Middle,2
288,362,11823,1,1,1,111,3,Top,0
318,24,1565,2,2,1,221,5,Top,0
324,79,1270,3,1,1,311,5,Top,0
296,24,588,1,2,2,122,5,Top,2
310,23,436,2,3,2,232,7,Middle,2
332,23,352,3,3,3,333,9,Middle,3
333,29,326,3,2,3,323,8,Middle,3
329,76,1547,3,1,1,311,5,Top,0
319,42,672,3,2,2,322,7,Middle,0
318,23,335,2,3,3,233,8,Middle,2
358,14,355,3,3,3,333,9,Middle,3
297,17,262,1,3,3,133,7,Middle,2
365,11,174,4,4,4,444,12,Low,3
319,8,155,3,4,4,344,11,Low,1
295,4,100,1,4,4,144,9,Middle,1
358,4,76,3,4,4,344,11,Low,1
295,17,110,1,3,4,134,8,Middle,2
296,7,142,1,4,4,144,9,Middle,2
372,21,312,4,3,3,433,10,Low,3
372,27,223,4,2,3,423,9,Middle,3
334,63,689,3,1,2,312,6,Middle,3
371,34,110,4,2,4,424,10,Low,3
315,20,552,2,3,2,232,7,Middle,2
327,45,416,3,2,2,322,7,Middle,3
318,13,666,2,3,2,232,7,Middle,2
305,8,137,2,4,4,244,10,Low,2
310,14,1063,2,3,1,231,6,Middle,2
362,23,122,4,3,4,434,11,Low,3
358,8,217,3,4,3,343,10,Low,1
304,167,1615,2,1,1,211,4,Top,0
364,21,124,4,3,4,434,11,Low,3
312,43,701,2,2,2,222,6,Middle,0
325,24,203,3,2,4,324,9,Middle,3
302,17,470,2,3,2,232,7,Middle,2
365,5,63,4,4,4,444,12,Low,1
306,9,131,2,4,4,244,10,Low,2
316,31,1185,2,2,1,221,5,Top,0
310,39,608,2,2,2,222,6,Middle,2
364,18,102,4,3,4,434,11,Low,3
372,50,210,4,1,3,413,8,Middle,3
320,11,161,3,4,4,344,11,Low,1
310,4,113,2,4,4,244,10,Low,1
310,1,30,2,4,4,244,10,Low,1
308,56,456,2,1,2,212,5,Top,0
302,7,597,2,4,2,242,8,Middle,2
308,17,703,2,3,2,232,7,Middle,2
312,15,131,2,3,4,234,9,Middle,2
334,70,614,3,1,2,312,6,Middle,3
304,16,306,2,3,3,233,8,Middle,2
297,1,165,1,4,4,144,9,Middle,1
365,10,174,4,4,4,444,12,Low,3
368,13,125,4,3,4,434,11,Low,3
372,4,127,4,4,4,444,12,Low,1
311,19,538,2,3,2,232,7,Middle,2
309,29,475,2,2,2,222,6,Middle,2
361,14,166,4,3,4,434,11,Low,3
319,4,66,3,4,4,344,11,Low,1
292,116,453,1,1,2,112,4,Top,0
337,182,1367,3,1,1,311,5,Top,0
369,50,269,4,1,3,413,8,Middle,3
288,7,18,1,4,4,144,9,Middle,1
331,26,255,3,2,3,323,8,Middle,3
290,1,165,1,4,4,144,9,Middle,1
360,26,275,4,2,3,423,9,Middle,3
326,27,726,3,2,2,322,7,Middle,3
288,234,2010,1,1,1,111,3,Top,0
296,45,698,1,2,2,122,5,Top,0
313,23,405,2,3,2,232,7,Middle,2
352,10,433,3,4,2,342,9,Middle,3
297,72,770,1,1,1,111,3,Top,0
309,11,195,2,4,4,244,10,Low,2
316,75,479,2,1,2,212,5,Top,0
296,17,946,1,3,1,131,5,Top,2
361,57,1121,4,1,1,411,6,Middle,3
317,2,326,2,4,3,243,9,Middle,1
311,56,289,2,1,3,213,6,Middle,2
339,23,201,3,3,4,334,10,Low,3
302,16,197,2,3,4,234,9,Middle,2
302,25,669,2,2,2,222,6,Middle,2
289,51,434,1,1,2,112,4,Top,2
361,54,1167,4,1,1,411,6,Middle,3
324,57,335,3,1,3,313,7,Middle,3
372,76,413,4,1,2,412,7,Middle,3
372,1,35,4,4,4,444,12,Low,1
362,38,346,4,2,3,423,9,Middle,3
304,151,523,2,1,2,212,5,Top,0
371,3,39,4,4,4,444,12,Low,1
373,31,255,4,2,3,423,9,Middle,3
313,5,163,2,4,4,244,10,Low,1
305,25,393,2,2,2,222,6,Middle,2
289,694,3788,1,1,1,111,3,Top,0
362,1,204,4,4,4,444,12,Low,1
296,1,144,1,4,4,144,9,Middle,1
317,1,237,2,4,3,243,9,Middle,1
337,5,211,3,4,3,343,10,Low,1
358,16,305,3,3,3,333,9,Middle,3
361,34,585,4,2,2,422,8,Middle,3
298,12,309,1,3,3,133,7,Middle,2
291,70,1235,1,1,1,111,3,Top,0
358,15,357,3,3,3,333,9,Middle,3
298,8,187,1,4,4,144,9,Middle,2
338,29,344,3,2,3,323,8,Middle,3
326,62,416,3,1,2,312,6,Middle,3
297,64,774,1,1,1,111,3,Top,0
316,24,101,2,2,4,224,8,Middle,2
296,41,731,1,2,2,122,5,Top,0
292,180,2637,1,1,1,111,3,Top,0
332,110,842,3,1,1,311,5,Top,0
336,34,285,3,2,3,323,8,Middle,3
367,15,373,4,3,3,433,10,Low,3
294,95,8284,1,1,1,111,3,Top,0
362,44,168,4,2,4,424,10,Low,3
290,82,1491,1,1,1,111,3,Top,0
299,39,380,1,2,2,122,5,Top,2
325,34,588,3,2,2,322,7,Middle,3
297,108,654,1,1,2,112,4,Top,0
295,104,1060,1,1,1,111,3,Top,0
368,12,419,4,3,2,432,9,Middle,3
316,36,722,2,2,2,222,6,Middle,0
323,80,648,3,1,2,312,6,Middle,0
298,22,247,1,3,3,133,7,Middle,2
358,90,471,3,1,2,312,6,Middle,3
373,71,313,4,1,3,413,8,Middle,3
339,10,203,3,4,4,344,11,Low,1
302,136,6940,2,1,1,211,4,Top,0
310,33,1016,2,2,1,221,5,Top,0
353,8,434,3,4,2,342,9,Middle,3
316,11,204,2,4,4,244,10,Low,2
338,18,943,3,3,1,331,7,Middle,3
361,19,495,4,3,2,432,9,Middle,3
297,17,928,1,3,1,131,5,Top,2
368,32,470,4,2,2,422,8,Middle,3
295,15,228,1,3,3,133,7,Middle,2
296,54,994,1,1,1,111,3,Top,0
297,5,89,1,4,4,144,9,Middle,1
334,7,97,3,4,4,344,11,Low,1
366,6,180,4,4,4,444,12,Low,1
324,57,870,3,1,1,311,5,Top,0
323,17,278,3,3,3,333,9,Middle,2
372,20,406,4,3,2,432,9,Middle,3
312,22,558,2,3,2,232,7,Middle,2
308,18,334,2,3,3,233,8,Middle,2
322,35,348,3,2,3,323,8,Middle,2
319,6,200,3,4,4,344,11,Low,1
323,4,114,3,4,4,344,11,Low,1
334,9,179,3,4,4,344,11,Low,1
291,269,2005,1,1,1,111,3,Top,0
310,6,75,2,4,4,244,10,Low,1
334,146,1757,3,1,1,311,5,Top,0
292,14,542,1,3,2,132,6,Middle,2
313,19,109,2,3,4,234,9,Middle,2
306,55,463,2,1,2,212,5,Top,0
369,30,155,4,2,4,424,10,Low,3
366,2,48,4,4,4,444,12,Low,1
297,52,637,1,1,2,112,4,Top,0
336,5,582,3,4,2,342,9,Middle,3
360,26,385,4,2,2,422,8,Middle,3
288,51,991,1,1,1,111,3,Top,0
308,2,310,2,4,3,243,9,Middle,1
297,61,1428,1,1,1,111,3,Top,0
311,21,325,2,3,3,233,8,Middle,2
372,3,37,4,4,4,444,12,Low,1
366,1,103,4,4,4,444,12,Low,1
336,15,300,3,3,3,333,9,Middle,3
360,25,140,4,2,4,424,10,Low,3
292,31,433,1,2,2,122,5,Top,2
288,8,129,1,4,4,144,9,Middle,2
336,10,135,3,4,4,344,11,Low,1
290,118,2346,1,1,1,111,3,Top,0
365,32,257,4,2,3,423,9,Middle,3
296,10,175,1,4,4,144,9,Middle,2
302,18,424,2,3,2,232,7,Middle,2
360,38,497,4,2,2,422,8,Middle,3
360,47,960,4,2,1,421,7,Middle,3
359,17,300,4,3,3,433,10,Low,3
324,15,295,3,3,3,333,9,Middle,2
296,28,754,1,2,2,122,5,Top,2
305,25,1658,2,2,1,221,5,Top,0
296,22,178,1,3,4,134,8,Middle,2
297,89,2103,1,1,1,111,3,Top,0
316,5,337,2,4,3,243,9,Middle,2
326,16,155,3,3,4,334,10,Low,1
289,142,1142,1,1,1,111,3,Top,0
358,50,124,3,1,4,314,8,Middle,3
365,2,163,4,4,4,444,12,Low,1
296,75,1147,1,1,1,111,3,Top,0
310,132,815,2,1,1,211,4,Top,0
373,54,191,4,1,4,414,9,Middle,3
367,5,111,4,4,4,444,12,Low,1
366,53,205,4,1,4,414,9,Middle,3
325,105,1037,3,1,1,311,5,Top,0
296,62,688,1,1,2,112,4,Top,0
368,14,185,4,3,4,434,11,Low,3
366,30,2770,4,2,1,421,7,Middle,3
329,64,570,3,1,2,312,6,Middle,3
338,82,1426,3,1,1,311,5,Top,0
369,35,126,4,2,4,424,10,Low,3
296,369,5283,1,1,1,111,3,Top,0
295,173,3218,1,1,1,111,3,Top,0
302,60,1119,2,1,1,211,4,Top,0
368,23,98,4,3,4,434,11,Low,3
319,30,215,3,2,3,323,8,Middle,2
315,22,1131,2,3,1,231,6,Middle,2
299,77,478,1,1,2,112,4,Top,0
296,59,369,1,1,3,113,5,Top,2
301,170,22671,2,1,1,211,4,Top,0
359,11,209,4,4,3,443,11,Low,3
291,48,773,1,2,1,121,4,Top,0
372,1,106,4,4,4,444,12,Low,1
290,91,1788,1,1,1,111,3,Top,0
315,27,509,2,2,2,222,6,Middle,2
367,8,111,4,4,4,444,12,Low,1
308,23,381,2,3,2,232,7,Middle,2
338,37,1844,3,2,1,321,6,Middle,0
333,3,876,3,4,1,341,8,Middle,1
359,4,102,4,4,4,444,12,Low,1
311,16,319,2,3,3,233,8,Middle,2
318,9,169,2,4,4,244,10,Low,1
372,16,288,4,3,3,433,10,Low,3
301,17,259,2,3,3,233,8,Middle,2
288,18,295,1,3,3,133,7,Middle,2
297,24,397,1,2,2,122,5,Top,2
291,14,355,1,3,3,133,7,Middle,2
301,10,333,2,4,3,243,9,Middle,2
336,8,122,3,4,4,344,11,Low,1
312,19,378,2,3,2,232,7,Middle,2
291,63,834,1,1,1,111,3,Top,0
358,54,1085,3,1,1,311,5,Top,3
315,80,2698,2,1,1,211,4,Top,0
357,4,158,3,4,4,344,11,Low,1
339,16,173,3,3,4,334,10,Low,3
373,27,487,4,2,2,422,8,Middle,3
320,41,163,3,2,4,324,9,Middle,2
331,5,1289,3,4,1,341,8,Middle,2
322,11,135,3,4,4,344,11,Low,1
319,44,1285,3,2,1,321,6,Middle,0
367,6,87,4,4,4,444,12,Low,1
288,14,1343,1,3,1,131,5,Top,2
365,15,315,4,3,3,433,10,Low,3
312,107,2206,2,1,1,211,4,Top,0
358,3,556,3,4,2,342,9,Middle,1
308,3,353,2,4,3,243,9,Middle,2
311,20,211,2,3,3,233,8,Middle,2
357,9,316,3,4,3,343,10,Low,3
353,3,65,3,4,4,344,11,Low,1
365,23,383,4,3,2,432,9,Middle,3
318,24,328,2,2,3,223,7,Middle,2
318,28,581,2,2,2,222,6,Middle,2
366,5,403,4,4,2,442,10,Low,3
318,5,585,2,4,2,242,8,Middle,2
358,14,322,3,3,3,333,9,Middle,3
